raw,clean,labels
aku stress sjskjsksjsksjsjsks,saya stre sjskjsksjsksjsjsks,-1
tak pernah aku rse mcm ni,tidak pernah saya rse macam ini,-1
beliau ini emang dari dulu suka becanda sama saya kalo cocok karena emang sama suka nyeletuk eh kok beliau nyelet,beliau ini memang dari dulu suka becanda sama saya jika cocok karena memang sama suka nyeletuk eh kok beliau nyelet,0
bgsd aku ngakak,bgsd saya akak,1
aku nk pesan siapa yg ada teady bear patung kt rumah tu buanglah malaikat enggan masuk rumah yg ada patung bila malaik,saya nk pesan siapa yang ada teady bear patung kita rumah itu buang malaikat enggan masuk rumah yang ada patung bila malaik,0
idm aloha a r m y mutualan yuk no mulfan yah idn aku yg ada 1,idm aloha mutualan yuk no mulfan ya idn saya yang ada,-1
smoke alasan sebab nak release tension bagi aku bodoh teruk banyak lagi cara kot,smoke alas sebab mau release tension bagi saya bodoh teruk banyak lagi cara kot,0
psim kamu tidakendiri boys on tour,psim kamu tidakendiri boys on tour,0
baik dan selalu sayang sama aku dia juga punya segalanya yah tipe tipe pangeran gitu lah yang,baik dan selalu sayang sama saya dia juga punya segala ya tipe tipe pangeran begitu lah yang,1
hahahaha aku malah demen yg ginian daripada yg tembak2 perang gitu,hahahaha saya bahkan suka yang begini daripada yang tembak perang begitu,1
aku teh kurang suka minum air putih kalo di tempat jajan rasanya suka beda beda,saya kakak perempuan kurang suka minum air putih jika di tempat jajan rasa suka beda beda,0
lutchuuuuu kesayangan kesayangan aku,lutchu sayang sayang saya,1
gaa aku sukanya kang daniel,enggak saya suka kang daniel,0
hidup bukan melulu tentang hal hal besar banyak sosok inspiratif yang jauh dari highlight di sisa hidupku aku ingin bertem,hidup bukan melulu tentang hal hal besar banyak sosok inspiratif yang jauh dari highlight di sisa hidup saya ingin tem,1
aku pun nak jumpa hmm,saya pun mau jumpa hmm,0
assalamualaikkum para pembaca kisah ni berdasarkan kisah benar yang aku alami pada tahun 2004 lokasi di sebuah taman diu,jadi orang alamualaikkum para baca kisah ini dasar kisah benar yang saya alami pada tahun lokasi di buah taman diu,0
krn kebutuhan istri ga cuma sandang pangan papan doang kalo kamu cinta sm istrimu ya kamu hrs memenuhi kebutuhan sekund,karena butuh istri enggak cuma sandang pangan papan doang jika kamu cinta sama istri iya kamu harus penuh butuh sekund,1
hai kak pantau terus media sosial shopee dan notifikasi akunhopee kamu untuk keseruanhopee ya kak os,hai kak pantau terus media sosial shopee dan notifikasi akunhopee kamu untuk keseruanhopee iya kak os,1
untuk thread aslinya ada dibawah ini aku cuma mau memperjelas karena orang orang tahunya thaad sudah selesai dan m,untuk thread asli ada bawah ini saya cuma mau jelas karena orang orang tahu thaad sudah selesai dan,0
pls ideal cut in indonesia fanuppo bagi yang datang untuk konser ideal cutvt di indonesia aku akan bagikan 50 b,tolong ideal cut ini indonesia fanuppo bagi yang datang untuk konser ideal cutvt di indonesia saya akan bagi,0
lawanya dia tak macam aku hm kau nak tahu tak apa dia hidup ni kalau asyik dibanding bandingkan kau takk,lawa dia tidak macam saya hm kamu mau tahu tidak apa dia hidup ini kalau asyik banding banding kamu takk,-1
top 5 super40era haaaa tepokkkk 1ampai bila 2 tak pernah hilang amp,top super era tertawa tepok ampai bila tidak pernah hilang amp,0
setiap orang memang berhak menilai dirimu tanpa tau siapa dirimu tapi ingat kamu juga berhak tuk tak peduli denga,tiap orang memang hak nilai diri tanpa tahu siapa diri tapi ingat kamu juga hak untuk tidak peduli denga,1
wisata mah depok kaga ada apaan coba kebon ui gitu kalo kulin,wisata mah depok kagak ada apa coba kebon ui begitu jika lin,0
yaudah aku unfoll ya oppa,ya sudah saya unfoll iya oppa,-1
iyosee bisa jadi ginting menang krna faktor tuan rumah aku liat reviewnya kento di google juga apik bgt wkwk,iyosee bisa jadi ganteng menang karena faktor tuan rumah saya lihat reviewnya kento di google juga apik banget wkwk,1
hahaha nk terbang ke sana ke mcmn nnt aku tgk kt setia alam punya,hahaha nk terbang ke sana ke mcmn nanti saya tengok kita setia alam punya,1
dm aku ya aku gabisa dm,dm saya iya saya enggak bisa dm,0
orang lain diam diam ubi berisi aku pulak diam diam perut berisi,orang lain diam diam ubi isi saya pula diam diam perut isi,0
aku rasa kalau aku tak hisap rokok mesti aku main bola sama mcm cr,saya rasa kalau saya tidak hisap rokok mesti saya main bola sama macam cara,0
kasihan banget umat jadi bodoh begini dan mental rusak karena ajaran agama yang tidak benareba,kasihan banget umat jadi bodoh begini dan mental rusak karena ajar agama yang tidak benareba,-1
korang buat lah apa yg korang nk buat aku dah tak kisah,korang buat lah apa yang korang nk buat saya deh tidak kisah,0
minuman yang bukan anak seumurku pesan minuman bapak2 wkwkw contoh ya kl di starbak aku pesan black tea l,minum yang bukan anak umur pesan minum bapak wkwkw contoh iya kalau di starbak saya pesan black tea,0
aku memang belum punya mobil yang bisa teduhkanmu dari hujan tapi aku punya amer yang bisa menghangatkanmu di setiap saat,saya memang belum punya mobil yang bisa teduh dari hujan tapi saya punya amer yang bisa hangat di tiap saat,1
aku tkprnh bagi dia tdr dlm bilik aku lepastu tula naik kepala,saya tkprnh bagi dia tidur dalam bilik saya lepastu tula naik kepala,0
wahai junior junior diamlah babi aku tengah focus nak jawab soalan trial kau sibuk nak memekak pastu kalau lalu tepi kela,wahai junior junior diam babi saya tengah focus mau jawab soal trial kamu sibuk mau pekak pastu kalau lalu tepi kela,-1
margaret thatcher bilang meskipun aku bisa berjalan diatas air tetap saja mereka akan berkata dia tak bisa berenang,margaret thatcher bilang meski saya bisa jalan atas air tetap saja mereka akan kata dia tidak bisa renang,0
giveaway karena aku janji kalo dapet tiket sos akan ga dan karena hari ini harinya han jisung jadi mari kita rayakann a,giveaway karena saya janji jika dapat tiket sos akan enggak dan karena hari ini hari han jisung jadi mari kita rayakann,0
ayo jangan patah semangat aku jadi ikutan baca2 setelah sukses instal homescapes lagi,ayo jangan patah semangat saya jadi ikut baca telah sukses instal homescapes lagi,1
sama kaya aku yang feelingnya kuat ibuku pun sama mungkin ibuku tau aku mau beli 4 slogan lagi jadi kemarin ibu,sama kayak saya yang feelingnya kuat ibu pun sama mungkin ibu tahu saya mau beli slogan lagi jadi kemarin ibu,0
memang aku hari2 ngadap pun dah bosan,memang saya hari ngadap pun deh bosan,0
aku menyusul tk lama lg,saya susul tak lama lagi,0
jawaban dari pertanyaan kamu terima kasih utk pertanyaannyaemoga bermanfaat kiaara,jawab dari tanya kamu terima kasih untuk pertanyaannyaemoga manfaat kiaara,0
uang 100 ribu dapet cabe cabean rasa bawang,uang ribu dapat cabe cabe rasa bawang,0
acc aku aja gapapa,accord saya saja gapapa,0
naha aku,naha saya,0
han tuah dtg lepak in the future nilah jadinya,han tuah datang lepak ini the future nilah jadi,0
12 y o niece bang long dekat u belajar apa me islamic accounting 12 y o niece ohh kira tasbih laa ni hahahahahan,niece mas long dekat ajar apa me islamic accounting niece oh kira tasbih lah ini hahahahahan,1
ketuk aku ketuk aku,ketuk saya ketuk saya,0
darren aku mau minta fs,darren saya mau minta fs,0
aku pun turn off kalau lelaki pergi clubbing hshshshshshsh,saya pun turn off kalau lelaki pergi clubbing hshshshshshsh,-1
oke aku yupi hai teman seperseulminq wkwkwk,oke saya yupi hai teman seperseulminq wkwkwk,0
woi jom ah the nun anjir tul aku dok tgk lagi,woi jom ah the nun tul saya dok tengok lagi,0
dulu aku nmpak gf aku yg pling cantik bila dah start kerja ni ya tuhan ramai nya yg lagi cantik dri gf aku trash htt,dulu saya nmpak gf saya yang paling cantik bila deh stakerja ini iya tuhan ramai nya yang lagi cantik dari gf saya trash htt,-1
giveaway pulsa 5k untuk dua orang aja gausah follow gapapa flop bodo amat yang pentingesuai janji kiw close tgl 15,giveaway pulsa untuk dua orang saja enggak usah follow gapapa flop bodo amat yang pentingesuai janji kiw close tanggal,0
yuk gabung grup goyanghopee aku bonus koin hingga 100 dengan main bersama grup,yuk gabung grup goyanghopee saya bonus koin hingga dengan main sama grup,1
tapi nak perbetulkan apa yang dah hancur tu mustahil bagi aku la aku tak dendam tapi aku tak boleh terima dan lupakan,tapi mau betul apa yang deh hancur itu mustahil bagi saya lah saya tidak dendam tapi saya tidak boleh terima dan lupa,-1
ada certain girls only wants you when she is in trouble bila dah senang lupa ignores you lots of excuses actively in con,ada certain girls only wants you when she is ini trouble bila deh senang lupa ignores you lots of excuses actively ini con,-1
submit in pdf instead of pptx okay je kan bukan apa aku risau convert to pptx nanti miss takboleh nak read,submit ini pdf instead of pptx okay je kan bukan apa saya risau conveto pptx nanti mi takboleh mau read,0
kesian lelaki,kasihan lelaki,-1
huum bukan itu ajaa beeb aku kudu mengakhiri sebelum aku memulai beee b,huum bukan itu saja beeb saya harus akhir belum saya mulai be,-1
bukan nak cakap apa lah tapi tolong lah tutup aurat aku sebagai lelaki ni malu bila tengok lelaki lain yang macam ini ing,bukan mau cakap apa lah tapi tolong lah tutup aurat saya bagai lelaki ini malu bila jenguk lelaki lain yang macam ini ing,-1
aku akan list kan cafe cafe menarik yg aku dah pegi area bangi in this thread,saya akan list kan cafe cafe tarik yang saya deh pegi area bang ini this thread,1
halooo jadi karna aku udah janji kalo dapet tiket spotify on stage bakal giveaway liptint aku mau giveaway liptint tonymoly,halo jadi karena saya sudah janji jika dapat tiket spotify on stage bakal giveaway liptint saya mau giveaway liptint tonymoly,0
nah klo yg gini baru ibu camat jeles tingkat negara a p aku cinta jendral mungkin wefie dan batako,nah kalo yang begini baru ibu camat jeles tingkat negara saya cinta jenderal mungkin wefie dan batako,0
aku kalau makan dekat sini mesti tambah nasi haha sebab sup amp sambal dia mmg power nasi kerabu rm3 nasi ayam penyet rm7,saya kalau makan dekat sini mesti tambah nasi tertawa sebab sup amp sambal dia memang power nasi kerabu rm nasi ayam penyet rm,0
aku ni memang mudah terhibur,saya ini memang mudah hibur,1
kalau tak boleh dah utk sayang aku macam sebelum ni takpela tapi tak suka la ttbe tak bertegur ttbe nk marah,kalau tidak boleh deh untuk sayang saya macam belum ini takpela tapi tidak suka lah ttbe tidak tegur ttbe nk marah,-1
percayalah yg komen gmbr tu dia sendiri yg komen bukan aku hahahahahahahha,percaya yang komen gmbr itu dia sendiri yang komen bukan saya hahahahahahahha,1
dan aku baru tau kenapa polaroidku kemarin cuma nge pas 9 margin pagenya kekecilan,dan saya baru tahu kenapa polaroidku kemarin cuma nge pas margin pagenya kecil,0
gatau ih aku dari orang ga ada creditnya,enggak tau ih saya dari orang enggak ada creditnya,-1
tak sekarang ni aku baru je langgan data baru dah kenapa slow jugak niiiiiiii adoiiii,tidak sekarang ini saya baru je langgan data baru deh kenapa slow juga ini adoi,-1
aku maw kok,saya mau kok,1
kau menyesal tak kenal aku tak sebab semua perkenalan pasti ada hikmahnya utk kita diperbaiki atau membaiki seseorang,kamu sesal tidak kenal saya tidak sebab semua kenal pasti ada hikmah untuk kita baik atau baik orang,1
jaga umi kt hospital pastu jaga atok pulakemoga allah berkati segala urusan aku,jaga umi kita hospital pastu jaga atok pulakemoga allah berkat segala urus saya,0
malu ah aku tak pro,malu ah saya tidak profesional,-1
kak dwita kita udah kenal lama eh pada akhirnya aku tau dia nggak cuma manggil sayang ke aku dia lebih dulu p,kak dwita kita sudah kenal lama eh pada akhir saya tahu dia enggak cuma manggil sayang ke saya dia lebih dulu,1
pengalaman member aku masa dia sekolah cikgu dia perlekehkan cita cita dia sampai sekarang dia terasa cikgu dekat lua,alam member saya masa dia sekolah cikgu dia perlekehkan cita cita dia sampai sekarang dia asa cikgu dekat lua,0
semalam ada makwe kelam kelibut naik tangga siap meluru masuk rumah sebab igt aku ikut dia butoh rumah sewa aku depan ru,malam ada makwe kelam kelibut naik tangga siap luru masuk rumah sebab igt saya ikut dia butoh rumah sewa saya depan baru,0
aku banget 24 ketemu mantan pasma aku minta dilamar langsung eeh lgsg pulang kampung dilamar,saya banget ketemu mantan pasma saya minta lamar langsung eeh langsung pulang kampung lamar,1
me lepas tolong buka pintu untuk orang tapi dia tak cakap thanks,me lepas tolong buka pintu untuk orang tapi dia tidak cakap terima kasih,0
wkwkwk bener ntar pas kenalan disekolah nama kamu siapa jeno loh kok sama kayaknya mama kita d,wkwkwk benar entar pas kenal seko nama kamu siapa jeno loh kok sama seperti ibu kita,1
aduh aku deg degan sekaliiii,aduh saya deg degan sekali,1
kalau aku jumpa amelia dgn bala ni mmg aku tumbok dorg ',kalau saya jumpa amelia dengan bala ini memang saya tumbok dorg,0
rlt mutualan yu yang gamasalah aku suka rt in ga sama twt receh rt ya dn aku ada tapi follback kalo ngga maapin ak,rlt mutualan yuk yang gamasalah saya suka ini enggak sama twt tidak tarik iya dan saya ada tapi follback jika enggak maaf aku,1
aku ternyata tidak bodoh kawan,saya nyata tidak bodoh kawan,1
see bukan aku sorang je aku dah cakap dah yang aku tak bodoh kekadang je bila situation tu macam ni ah,sih bukan saya sorang je saya deh cakap deh yang saya tidak bodoh kadang je bila situation itu macam ini ah,0
tadi aku nampak pasangan bermesra di shell gila apa patutnya mesra kat petronas,tadi saya tampak pasang mesra di shell gila apa patut mesra kat petronas,-1
aku gak balas dendam padahal,saya enggak balas dendam padahal,-1
aku sedar satu benda yg dp twitter aku ni cam pandang masa depan,saya dar satu benda yang dp twitter saya ini cam pandang masa depan,0
hi guys aku rasa macam nak cerita pasal hamba allah ni yg dilahirkan as a normal person tapi sejak 2 tahun lepas dia cac,hai teman saya rasa macam mau cerita pasal hamba allah ini yang lahir as normal person tapi sejak tahun lepas dia cac,0
aku kangennnnnnnn,saya kangen,-1
iiihhh kok kamu tau sih kamu mantan temennya ya,ih kok kamu tahu sih kamu mantan teman iya,0
alhamdullilah cuti 3 hari tkde homework akhirnya aku boleh study dgn aman hw pijik harini dh terbuat smlm,alhamdullilah cuti hari tkde homework akhir saya boleh study dengan aman hw pijik harini deh buat smlm,1
senyumin aja semuanyaa ampe pegel,senyum saja semua sampai gel,-1
lupakan sekejap je nanti lepas pt3 aku ingat balik okey,lupa kejap je nanti lepas pt saya ingat balik okey,0
hai orang2 beriman apabila diseru menunaikan shalat jumat maka bersegeralah kamu kepada mengingat allah dan tinggalka,hai orang iman apabila seru tunai shalat jumat maka galah kamu kepada ingat allah dan tinggalka,1
dh kenapa kena pergi world economy forum mana menteri ekonomi at least menteri kewangan la kan dh kenapa m,deh kenapa kena pergi world economy forum mana menteri ekonomi at least menteri wang lah kan deh kenapa,0
hahahahaha iya aku inget kok,hahahahaha iya saya ingat kok,1
ni yg aku mkn selama 23 hari,ini yang saya makin lama hari,0
chilli level 100 waktu makan aku dah mula fikir harta aku nak wasiatkan pada siapa sebab pedas sambal dia boleh baw,chilli level waktu makan saya deh mula fikir harta saya mau wasiat pada siapa sebab pedas sambal dia boleh baw,-1
orang umum tuh masih bilang ngapain sih kamu koreaan mulu mereka liatnya aku seneng terus kali ya padahal pas aku d,orang umum itu masih bilang kapai sih kamu koreaan terus mereka lihat saya senang terus kali iya padahal pas saya,0
iya dan sekarang aku butuh,iya dan sekarang saya butuh,0
bkn tunjuk baikk aku pn byk juge melakukan dosa tp sekurang2 nye kita cube mengurangkan dosa yg ada jomjumaat,bukan tunjuk baik saya pn banyak juge laku dosa tapi kurang nye kita cube kurang dosa yang ada jomjumaat,1
aku sedih lah first time ni ada customer request camni,saya sedih lah first time ini ada customer request camni,-1
gatau aku pakenya madu asli hehehe,enggak tau saya pakenya madu asli hehehe,0
bukan kolej je sekolah pon macam tuhh,bukan kolej je sekolah pon macam tuh,0
aku kumpul rm100 beli emas saiz kecik nanti agak2 berderet boleh tukar bentuk cincin ke gelang tap,saya kumpul rm beli emas saiz kecil nanti agak deret boleh tukar bentuk cincin ke gelang tap,0
kamu ga pgn ikutan bikin cerita crazyrichsurabayan,kamu enggak pengin ikut buat cerita crazyrichsurabayan,0
me lepas tolong buka pintu untuk orang tapi dia tak cakap thanks,me lepas tolong buka pintu untuk orang tapi dia tidak cakap terima kasih,-1
dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl,dalam instagram facebok twitter cantik depan depan takde lah cantik mana bagitahu akuekarangiapa je yang mau upl,0
ma aku ajah,sama saya saja,0
hahahahahahahahah babi,hahahahahahahahah babi,1
sini beli sama aku zoee,sini beli sama saya zoee,0
gak mau kamu baw,enggak mau kamu baw,-1
nak aku viralkan tak hahahaha,mau saya viralkan tidak hahahaha,1
aku mah wktu kecil doyannya mainin asap rokok jd klo ada yg ngerokok asapnya ku tangkep2in kyak org bego smpe kena marah,saya mah waktu kecil doyan mainin segera mungkin rokok jadi kalo ada yang ngerokok asap ku tangkap ini kayak orang bodoh sampai kena marah,-1
aku dok tengok je online tapi malas la nak cakap aku kena balik,saya dok jenguk je onlen tapi malas lah mau cakap saya kena balik,-1
dear someone i truly care and love u tp aku takkan luahkan aku takut kalau rasa hati kita tak sama aku percaya dgn ay,dear someone truly care dan love tapi saya tak luah saya takut kalau rasa hati kita tidak sama saya percaya dengan sayang,1
katanya gabut bosan dasar kamu,kata bosan bosan dasar kamu,-1
ajak aku,ajak saya,1
kamu udah bilang ke si bapak aku mau kerumah,kamu sudah bilang ke sih bapak saya mau rumah,0
ab aeri followan yuu yang ga masalah aku mulfan hehe,ab aeri followan yuk yang enggak masalah saya mulfan he,1
ayo yoongi ngaku gak kamuwami dya,ayo yoongi aku enggak kamuwami dia,0
bener banget nih kalopun milih antara ayah ibu mereka pasti nyaranin aku bawa adik kakak dongg,benar banget ini kalo pilih antara ayah ibu mereka pasti saran saya bawa adik kakak dong,0
tengok harga iphone baru nampaknya cinta kami hanya sampai 8plus sahaja aku tak mampu untuk jadi sebodoh itu,jenguk harga iphone baru nampaknya cinta kami hanya sampai plus sahaja saya tidak mampu untuk jadi bodoh itu,-1
karena mbk lia banyak cinta pasti kuliah advokatnya sukses love you more mbk,karena mbak lia banyak cinta pasti kuliah advokat sukses love you more mbak,1
ikut aku gamau ditinggal,ikut saya enggak mau tinggal,-1
ini aku kalo kelas mulai jam segini,ini saya jika kelas mulai jam gin,0
enak aja ga dong alis aku lebih bagus,enak saja enggak dong alis saya lebih bagus,1
orangnya ga ganteng wangi parfum sebotol ga cute pemalu ga asik ngebosenin ngetik kamu,orang enggak ganteng wangi parfum botol enggak cute malu enggak asik ngebosenin etik kamu,-1
udah kek orang depresi ngerjain codingan pagi ampe malem pas keluar kamar dibilangin tidoor mulu di kamar aku ht,sudah kayak orang depresi ngerjain codingan pagi sampai malam pas keluar kamar dibilangin tidoor terus di kamar saya hati,-1
aku juga kangen,saya juga kangen,1
ada effort dari mula relay sampai bila bilaetia ambik berat penyayang jaga batas terima baik buruk aku,ada effodari mula relay sampai bila bilaetia ambik berat sayang jaga batas terima baik buruk saya,1
iya pengen kepo2 makanya pengen banyakin mutuals ikonic hehe aku gampang oleng nihekarang aja lagi oleng ke hanbin huhuhu,iya pengin mau tahu urus orang makanya pengin banyak mutuals ikonic he saya gampang oleng nihekarang saja lagi oleng ke hanbin huhuhu,0
mesti ada ckp kat mak aku bdn dia sakit sakit la tdr atas lantai,mesti ada cukup kat ibu saya badan dia sakit sakit lah tidur atas lantai,-1
wkwkwkwkw,wkwkwkwkw,1
can't relate karena aku jelata,belum relate karena saya jelata,-1
hi po crushhh akin ka nalang hello pang sayra lang pu aku ih kaya pass hehehe,hai po crush akin kak nalang hello pang sayra lang punya saya ih kayak apa hehehe,1
nnti senin yah aku update hehe kmren ada kesalahan jd lama sampenya,nanti senin ya saya update he kemarin ada salah jadi lama sampenya,0
baru perasan sejak bila aku punya kurang ajar masuk rumah pun tak bagi salam maybe hati tengah panas kot,baru peras sejak bila saya punya kurang ajar masuk rumah pun tidak bagi salam maybe hati tengah panas kot,-1
yatapi kalau ga ada bapak negara aku ga kebayang sih gimana aku bisa lewatin usia 25 ke atas dengan baik baik saja tsai,yatapi kalau enggak ada bapak negara saya enggak bayang sih bagaimana saya bisa lewatin usia ke atas dengan baik baik saja tsai,0
ada awek tegur aku panggil aku victor kan bagus kalau dia panggil aku victory,ada awek tegur saya panggil saya victor kan bagus kalau dia panggil saya victory,0
sekolah tak payah bercinta sekarang nak spm dah nnti masuk u ramai lagi pilihan u tak payah kejar sangat cinta tu kej,sekolah tidak payah cinta sekarang mau spm deh nanti masuk ramai lagi pilih tidak payah kejar sangat cinta itu kej,-1
halah malas aku,halah malas saya,-1
ya allah jantung aku drop kejap tengok gambar ni,iya allah jantung saya drop kejap jenguk gambar ini,-1
aku udah ulang beberapa kali videonya detik demi detik seakan mayatnya pengen nyebur,saya sudah ulang beberapa kali video detik demi detik akan mayat pengin cebur,0
kamu berani enggak bung meninggalkan popularitasmu,kamu berani tidak bung tinggal popularitas,0
aku dah kata aku takleh tengok drama korea hahahahahahahaha wtf sweet terok,saya deh kata saya takleh jenguk drama korea hahahahahahahaha what the fuck sweet terok,1
tumpahin ke sini sayang trus aku jilat kepala konti kamu,tumpahin ke sini sayang terus saya jilat kepala konti kamu,0
ahhh kau sombong dgn aku,ah kamu sombong dengan saya,-1
benda simple je ph jadi kerajaan selepas 9 mei menteri kewangan paling bangang dalam sejarah malaysia bandingkan,benda simple je ph jadi raja lepas mei menteri wang paling bangang dalam sejarah malaysia banding,0
aku as softstan,saya as softstan,0
katanya perbaikan giziagala dipesen dan beliau berkata 'de satenya kamu yg abisin yah mas pasti kekenyangan',kata baik giziagala sen dan beliau kata dek sate kamu yang abisin ya mas pasti kenyang,0
nih aku mam seblak,ini saya makan seblak,0
dari kemarin2 agak males nonton karena yah meski aku soel meski dramanya high rating aku agak2 ga percaya kalo cer,dari kemarin agak malas tonton karena ya meski saya soel meski drama high rating saya agak enggak percaya jika cer,-1
siksik tak tanya la kamu ki sapaaaaaaaaaa wkwk,siksik tidak tanya lah kamu ki sapa wkwk,0
buah oren ni lagi ploles dari kulit muka aku sial,buah oren ini lagi ploles dari kulit muka saya sial,0
bila nak macamni hahaha,bila mau macamni hahaha,1
alhamdulillah traktir aku bakso nder,alhamdulillah traktir saya bakso brother,0
di tengah orang yang baru kenal dan orang orang yang nggak bikin nyaman aku introvert rasanya pengin cepet pulang tapi,di tengah orang yang baru kenal dan orang orang yang enggak buat nyaman saya introverasanya pengin cepat pulang tapi,-1
arghhhh sedap sial aku cam ni please,argh sedap sial saya cam ini tolong,0
cintai aku apa adanya bukannya ada apanya bego vscofilter vscosimple vsco vscoedit vscoindonesia,cinta saya apa ada bukan ada apa bodoh vscofilter vscosimple vsco vscoedit vscoindonesia,1
takapalah mungkin aku tak ada rezeki dalam hal tu,takapalah mungkin saya tidak ada rezeki dalam hal itu,1
iyaa aku mikirnya gitu kaa awalnya mau aku coba buka dalemnya tp mikir kalau rusak total aku harus kemana,iya saya mikirnya begitu kak awal mau saya coba buka dalem tapi mikir kalau rusak total saya harus mana,0
weh sumpah do tolong la sesiapa jumpa kad matrik aku taknak buat baru,weh sumpah di tolong lah siapa jumpa kad matrik saya tidak mau buat baru,1
tapi aku tak rasa aku boleh macam tu so no hahahah,tapi saya tidak rasa saya boleh macam itu sok no hahahah,1
even inmydreams di ig kak tapi satu doang itu foto mereka wkwkwkwk biasanya dia edit kaistal sehun seu,even inmydreams di ig kak tapi satu doang itu foto mereka wkwkwkwk biasa dia edit kaistal hun seu,1
mesin sudah jalan ha ha ampun ya demo nunggu komandan,mesin sudah jalan tertawa tertawa ampun iya demo tunggu komandan,0
kuliah siang ini ngerasa kesel banget karena naha sih ga cuma sekali lantas yg salah dari saya teh apa kemud,kuliah siang ini rasa kesal banget karena naha sih enggak cuma sekali lantas yang salah dari saya kakak perempuan apa mud,-1
siap private jet aku siapkan,siap private jet saya siap,0
keburu kenyang aku yin,lanjur kenyang saya yin,0
happy birthday base traktir aku eskrim dong,bahagia birthday base traktir saya eskrim dong,1
visualisasinya pakai beginian tapi maaf yah mau aku konsumsi sendiri ajah,visualisasi pakai begini tapi maaf ya mau saya konsumsi sendiri saja,0
dekat shopee ada jual perhatian tak kalau ada aku nak beli,dekat shopee ada jual perhati tidak kalau ada saya mau beli,0
hai aku ada sediakan servis printing kad kahwin di area johor bahru melaka danenawang kalau luar kawasan boleh diuru,hai saya ada sedia servis printing kad kahwin di area johor bahru melaka danenawang kalau luar kawasan boleh diuru,0
sedih aku tu pengen beli buku mojok duit ga segera cukup,sedih saya itu pengin beli buku mojok duit enggak segera cukup,-1
aku pake yg wardaah tp mau nyoba punyanya emina,saya pakai yang wardaah tapi mau coba punya emina,0
ihh aku mah disini terus gak kemana2,ih saya mah sini terus enggak mana,1
nnt kl pas kesana wajib beli yg mala aku gk tau berapa kali lebih pedes dr yg biasa yg pst bibir lg,nanti kalau pas kesana wajib beli yang mala saya enggak tahu berapa kali lebih pedas dari yang biasa yang pasti bibir lagi,0
aku di sini,saya di sini,0
kenapa aku gak mungkin bisa terlibat twitwar,kenapa saya enggak mungkin bisa libat twitwar,-1
aku tgk survey camp yg sem 5 pegi cm best mcm la tapi tak tau la realitinye cm nebb pensyarah kata part naik,saya tengok survey camp yang sem pegi cuma best macam lah tapi tidak tahu lah realitinye cuma nebb pensyarah kata panaik,0
memang dari awal kau tak percaya aku pun so apa lagi klako,memang dari awal kamu tidak percaya saya pun sok apa lagi klako,-1
kok akuih kak,kok akuih kak,0
aku menangis,saya menang,-1
aku di twitter bacod tp sesungguhnya aku pendiam ko,saya di twitter bacod tapi sungguh saya diam kok,0
nanti gaada yang bisa aku isengin lagi terus galaque kaya gini,nanti enggak ada yang bisa saya canda lagi terus galaque kayak begini,-1
malu sama ketiak kamu yang hitam kami punya cream ajaib impo thailand mau 2232ba5f 082240585812,malu sama ketiak kamu yang hitam kami punya cream ajaib impo thailand mau ba,0
bagi meme 'yuk main yuk' ke aku dong yang baik,bagi meme yuk main yuk ke saya dong yang baik,1
coba di antara kamu dan temen temenmu siapa yg suara tawanya paling kenceng percayalah dialah jg yg jeritan hatinya pa,coba di antara kamu dan teman temenmu siapa yang suara tawa paling kencang percaya dia juga yang jerit hati apa,-1
ternyata aku yang tertipu wkwk,nyata saya yang tipu wkwk,-1
benda yang aku rasa tak perlu nak bawak gurau 1 rupa paras 2 bentuk badan 3 insecurities kita contohnya kita gagap pas,benda yang saya rasa tidak perlu mau bawa gurau rupa paras bentuk badan insecurities kita contoh kita gagap pas,-1
mau bubeks mau,mau bubeks mau,1
tiap hari ketemu kamu itu pun masih kangen juga,tiap hari ketemu kamu itu pun masih kangen juga,-1
tiap hari jumaat mesti aku makan sorang bukan setakat jumaat hari biasa pun kadang aku makan sorangebabnya off,tiap hari jumaat mesti saya makan sorang bukan takat jumaat hari biasa pun kadang saya makan sorangebabnya off,0
hang takleh macam tu yat nanti kami semua dah habis takdak dekat sini dah reem2018 ytjt time dia cakap macam ni a,hang takleh macam itu yat nanti kami semua deh habis takdak dekat sini deh reem ytjt time dia cakap macam ini,0
yey phone dh elok mujur tk gi tmpt yg 3 lebih tu fuh kalau tk melayang duit aku,yey phone deh elok mujur tak gi tempat yang lebih itu fuh kalau tak layang duit saya,-1
nikah sama cp eh taunya cp aku itu temen kelas sebelah,nikah sama siapa eh tau siapa saya itu teman kelas belah,0
gua taklek ea junior tarik tangan omg ingat aku tak jumpa sesape,aku taklek ya junior tarik tangan omg ingat saya tidak jumpa sesape,-1
halo haters sadarkah bahwa kebencianmu justru karena kamu merasa hidupmu tak lebih menarik dari hidup orang yang kaubenci,halo haters sadar bahwa benci justru karena kamu rasa hidup tidak lebih tarik dari hidup orang yang benci,-1
ya aku gamau tau aku maunya yang paling gede,iya saya enggak mau tahu saya mau yang paling gede,0
tulis dua duanya kalo 65k doang seolah olah kamu untung 65k padahal realnya kan kamu cuma punya untun,tulis dua dua jika doang olah olah kamu untung padahal real kan kamu cuma punya untun,0
aku sini,saya sini,0
